,Time,humidity,temperature,vpp_sum1,vpp_sum2,delay_slow,delay_fast,Ch1_word,Ch2_word,Ch1_Amp,Ch2_Amp
0,2022/11/01 15:38:42,33.02764892578125,27.03369140625,468695.0,1204532.0,3142.3229983335073,1799.2578316505078,3249450729153176.0,1620043158914984.0,13.6,14.6
1,2022/11/01 15:38:45,33.02154541015625,27.028350830078125,468695.0,1204532.0,3149.3358036831987,1802.0169702896337,3249452252420022.0,1620043918353498.0,13.6,14.6
2,2022/11/01 15:38:48,32.9986572265625,27.068405151367188,468695.0,1204532.0,3147.589683061336,1804.565903416175,3249453573060729.0,1620044576770911.0,13.6,14.6
3,2022/11/01 15:38:51,33.01849365234375,27.076416015625,468695.0,1204532.0,3145.7634650830437,1806.957552778069,3249454706512633.0,1620045141863647.0,13.6,14.6
4,2022/11/01 15:38:53,32.98187255859375,27.036361694335938,468695.0,1204532.0,3148.014229406501,1808.775024818056,3249455664325976.0,1620045619390184.0,13.6,14.6
5,2022/11/01 15:38:56,33.00323486328125,27.0550537109375,468695.0,1204532.0,3146.5710084939064,1810.8988559489494,3249456488667504.0,1620046030373136.0,13.6,14.6
6,2022/11/01 15:38:59,32.989501953125,27.041702270507812,468695.0,1204532.0,3143.69462956035,1812.4108050535378,3249457157038778.0,1620046363595702.0,13.6,14.6
7,2022/11/01 15:39:02,32.98797607421875,27.071075439453125,468695.0,1204532.0,3142.8711425289384,1813.879578653144,3249457714375257.0,1620046641460863.0,13.6,14.6
8,2022/11/01 15:39:05,32.9864501953125,27.052383422851562,468695.0,1204532.0,3142.6929854404107,1815.1272269729307,3249458163847827.0,1620046865549493.0,13.6,14.6
9,2022/11/01 15:39:08,32.98187255859375,27.041702270507812,468695.0,1204532.0,3143.0657374391176,1815.9268446510168,3249458521695394.0,1620047043957646.0,13.6,14.6
10,2022/11/01 15:39:11,32.99102783203125,27.068405151367188,468695.0,1204532.0,3140.115436217941,1816.7699079755912,3249458820820498.0,1620047193089182.0,13.6,14.6
11,2022/11/01 15:39:14,33.0108642578125,27.076416015625,468695.0,1204532.0,3140.8789837046443,1817.3316049253194,3249459058032474.0,1620047311353366.0,13.6,14.6
12,2022/11/01 15:39:17,32.99102783203125,27.063064575195312,468695.0,1204532.0,3139.0763990154173,1817.5942170695794,3249459253994478.0,1620047409052002.0,13.6,14.6
13,2022/11/01 15:39:20,32.99102783203125,27.063064575195312,468695.0,1204532.0,3140.8252012599546,1817.5147711785266,3249459430670569.0,1620047497135471.0,13.6,14.6
14,2022/11/01 15:39:22,33.00628662109375,27.04437255859375,468695.0,1204532.0,3141.1754095389742,1817.6510440274087,3249459613181118.0,1620047588127762.0,13.6,14.6
15,2022/11/01 15:39:25,32.99102783203125,27.0550537109375,468695.0,1204532.0,3140.639195243084,1818.4486722632569,3249459785683840.0,1620047674130560.0,13.6,14.6
16,2022/11/01 15:39:27,32.9986572265625,27.071075439453125,476988.0,1196896.0,3137.8628260018204,1818.6193387805279,3249459785683840.0,1620047674130560.0,13.6,14.6
17,2022/11/01 15:39:29,33.00323486328125,27.071075439453125,474985.0,1191138.0,3138.9345507200305,1818.8074188129294,3249459785683840.0,1620047674130560.0,13.6,14.6
